index,english,garo,category,notes,verification_tag,flags
269,leaf,Bijak,,,none,DUPLICATE_KEY
270,it is raining,Mikka ring·a,,,none,DUPLICATE_KEY
271,it is sunny,Sal·seng·a,,,none,DUPLICATE_KEY
272,it is cold,Sin·a,,,none,DUPLICATE_KEY
273,it is hot,Ding·a,,,none,DUPLICATE_KEY
274,flood,Mikka·brimba,,,none,DUPLICATE_KEY
275,drought,Ran·kari,,,none,DUPLICATE_KEY
276,earthquake,A·a·moa,,,none,DUPLICATE_KEY
277,fog / mist,Ong·chel,,,none,DUPLICATE_KEY
278,rainbow,Gitchak·rong jal·ang,,,none,DUPLICATE_KEY
279,sunrise,Sal·aram,,,none,DUPLICATE_KEY
280,sunset,Sal·ikram,,,none,DUPLICATE_KEY
281,house,Nok,,,none,DUPLICATE_KEY
282,door,Do·ga,,,none,DUPLICATE_KEY
283,window,Kelki,,,none,DUPLICATE_KEY
284,bed,Palang,,,none,DUPLICATE_KEY
285,chair,Chokki,,,none,DUPLICATE_KEY
286,table,Mez,,,none,DUPLICATE_KEY
287,plate,Tala,,,none,DUPLICATE_KEY
288,cup,Cup,,,none,DUPLICATE_KEY
289,spoon,Chamus,,,none,DUPLICATE_KEY
290,knife,Kettal,,,none,DUPLICATE_KEY
291,pot,Me.dik,,,none,DUPLICATE_KEY
292,broom,Sal·re·at,,,none,DUPLICATE_KEY
293,clothes,Ba·ra,,,none,DUPLICATE_KEY
294,soap,Sabon,,,none,DUPLICATE_KEY
295,mirror,Janera,,,none,DUPLICATE_KEY
296,comb,Ken·chong,,,none,DUPLICATE_KEY
297,lamp,Chakki,,,none,DUPLICATE_KEY
298,key,Chabi,,,none,DUPLICATE_KEY
299,bag,Thola,,,none,DUPLICATE_KEY
300,book,Ki·tap,,,none,DUPLICATE_KEY
301,axe,Rua (⚠ verb: to pour),,,none,DUPLICATE_KEY
302,day,Sal,,,none,DUPLICATE_KEY
303,night,Wal,,,none,DUPLICATE_KEY
304,morning,Pring,,,none,DUPLICATE_KEY
305,noon,Sal·jatchi,,,none,DUPLICATE_KEY
306,evening,Attam,,,none,DUPLICATE_KEY
307,today,Da·alo,,,none,DUPLICATE_KEY
308,yesterday,Meja,,,none,DUPLICATE_KEY
309,tomorrow,Knalo,,,none,DUPLICATE_KEY
310,now,Da·o,,,none,DUPLICATE_KEY
311,always,Pangnan,,,none,DUPLICATE_KEY
312,sometimes,Gisep gisep,,,none,DUPLICATE_KEY
313,week,Anti,,,none,DUPLICATE_KEY
314,month,Ja,,,none,DUPLICATE_KEY
315,year,Bilsi,,,none,DUPLICATE_KEY
316,time,Somoi,,,none,DUPLICATE_KEY
317,day after tomorrow,Me·nnalo,,,none,DUPLICATE_KEY
318,day before yesterday,Me·si·ja,,,none,DUPLICATE_KEY
319,later,Ja·mano,,,none,DUPLICATE_KEY
320,before,Skang,,,none,DUPLICATE_KEY
321,early,Bakkan / Pring·seng,,,none,DUPLICATE_KEY
322,late,Ja·man·chak·a,,,none,DUPLICATE_KEY
323,never,Pangnan·ba (ja),,,none,DUPLICATE_KEY
324,shirt,Chola,,,none,DUPLICATE_KEY
325,traditional wrap (women),Dakmanda,,,none,DUPLICATE_KEY
326,shawl,Rekkeng,,,none,DUPLICATE_KEY
327,turban,Kotip,,,none,DUPLICATE_KEY
328,shoes,Juta,,,none,DUPLICATE_KEY
329,socks,Moja,,,none,DUPLICATE_KEY
330,hat,Tupi,,,none,DUPLICATE_KEY
331,ring,Jakstem,,,none,DUPLICATE_KEY
332,necklace,Ripok,,,none,DUPLICATE_KEY
333,earring,Nachil·ganna,,,none,DUPLICATE_KEY
334,big,Dal·a,,,none,DUPLICATE_KEY
335,small,Chon·a,,,none,DUPLICATE_KEY
336,long,Ro·a,,,none,DUPLICATE_KEY
337,short,Kan·dik·a,,,none,DUPLICATE_KEY
338,tall,Chu·a,,,none,DUPLICATE_KEY
339,new,Gital,,,none,DUPLICATE_KEY
340,old,Gitcham,,,none,DUPLICATE_KEY
341,good,Nama,,,none,DUPLICATE_KEY
342,bad,Namja,,,none,DUPLICATE_KEY
343,fast,Ta·raka,,,none,DUPLICATE_KEY
344,slow,Ka·sina,,,none,DUPLICATE_KEY
345,rich,Nokma / Man·e·cha·gipa,,,none,DUPLICATE_KEY
346,poor,Kangal,,,none,DUPLICATE_KEY
347,dry,Ran·a,,,none,DUPLICATE_KEY
348,wet,Chon·a / Sosia,,,none,DUPLICATE_KEY
349,tasty,Toa,,,none,DUPLICATE_KEY
350,village,Song,,,none,DUPLICATE_KEY
351,town,Songjinma,,,none,DUPLICATE_KEY
352,school,Skul,,,none,DUPLICATE_KEY
353,market,Bajal / Anti,,,none,DUPLICATE_KEY
354,road,Rama,,,none,DUPLICATE_KEY
355,field,A·ba,,,none,DUPLICATE_KEY
356,office,Kam·ka·chakani,,,none,DUPLICATE_KEY
357,church,Gilja·nok,,,none,DUPLICATE_KEY
358,shop,Dokan,,,none,DUPLICATE_KEY
359,hospital,Hospital / Sam·nok,,,none,DUPLICATE_KEY
360,up,Kosak,,,none,DUPLICATE_KEY
361,down,Ka·ma,,,none,DUPLICATE_KEY
362,left,Jak·asi,,,none,DUPLICATE_KEY
363,right,Jak·ra,,,none,DUPLICATE_KEY
364,front,Mikkang,,,none,DUPLICATE_KEY
365,back,Janggila,,,none,DUPLICATE_KEY
366,inside,Ning·o,,,none,DUPLICATE_KEY
367,outside,A·pal,,,none,DUPLICATE_KEY
368,far,Chel·a,,,none,DUPLICATE_KEY
369,near,Sepang,,,none,DUPLICATE_KEY
370,north,Salgro,,,none,DUPLICATE_KEY
371,south,Salgipeng,,,none,DUPLICATE_KEY
372,east,Salaram,,,none,DUPLICATE_KEY
373,west,Saliram,,,none,DUPLICATE_KEY
374,center,Jatchi,,,none,DUPLICATE_KEY
375,side,Rikam,,,none,DUPLICATE_KEY
376,farmer,Game·cha·gipa,,,none,DUPLICATE_KEY
377,teacher,Skigipa,,,none,DUPLICATE_KEY
378,student,Porai·gipa,,,none,DUPLICATE_KEY
379,doctor,Doctor / Sam·on·gipa,,,none,DUPLICATE_KEY
380,nurse,Nurse,,,none,DUPLICATE_KEY
381,driver,Gari·chalai·gipa,,,none,DUPLICATE_KEY
382,carpenter,Bal·sol·gipa,,,none,DUPLICATE_KEY
383,blacksmith,Sil·dak·gipa,,,none,DUPLICATE_KEY
384,shopkeeper,Dokan·dakgipa,,,none,DUPLICATE_KEY
385,tailor,Ba·ra·sikgipa,,,none,DUPLICATE_KEY
386,worker / laborer,Kam·ka·gipa,,,none,DUPLICATE_KEY
387,king,Raja,,,none,DUPLICATE_KEY
388,chief,Nokma,,,none,DUPLICATE_KEY
389,police,Pulis,,,none,DUPLICATE_KEY
390,soldier,Sipai,,,none,DUPLICATE_KEY
391,postman,Chiti·ra·ba·gipa,,,none,DUPLICATE_KEY
392,cook,Song·a,,,none,DUPLICATE_KEY
393,leader,Dilgipa,,,none,DUPLICATE_KEY
394,preacher,Aganprakgipa,,,none,DUPLICATE_KEY
395,thief,Cha·u,,,none,DUPLICATE_KEY
396,guest,Sokgipa,,,none,DUPLICATE_KEY
397,stranger,Agital,,,none,DUPLICATE_KEY
