index,english,garo,category,notes,verification_tag,flags
2437,deny,je·chak·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2438,desire,ha˙·sik·a,uncategorized,UNVERIFIED/HIGH v:ham˙-a / mik-bok-a,VERIFIED/HIGH,DUPLICATE_KEY
2439,desire,ham˙·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2440,desire,mik·bok·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2447,diarrhea,bik·ma re˙·a,uncategorized,UNVERIFIED/HIGH v:ki˙-brek-a,VERIFIED/HIGH,DUPLICATE_KEY
2448,diarrhea,ki˙·brek·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2452,different,al·a·da,uncategorized,UNVERIFIED/HIGH v:ding-dang / gip-in,VERIFIED/HIGH,DUPLICATE_KEY
2453,different,ding·dang,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2454,different,gip·in,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2456,dig,bak·a,uncategorized,UNVERIFIED/HIGH v:cho˙-a / kit-a / kong-a,VERIFIED/HIGH,DUPLICATE_KEY
2457,dig,cho˙·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2458,dig,kit·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2459,dig,kong·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2463,dike,bat·ol,uncategorized,UNVERIFIED/HIGH v:hal-i,VERIFIED/HIGH,DUPLICATE_KEY
2464,dike,hal·i,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2467,direct,tong˙·tang,uncategorized,UNVERIFIED/HIGH v:-tong˙-tang-,VERIFIED/HIGH,DUPLICATE_KEY
2468,direct,·tong˙·tang·,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2470,dirt,ka·rang,uncategorized,UNVERIFIED/HIGH v:moi-la,VERIFIED/HIGH,DUPLICATE_KEY
2471,dirt,moi·la,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2476,discover,bik·kot·a,uncategorized,UNVERIFIED/HIGH v:nik-man-a,VERIFIED/HIGH,DUPLICATE_KEY
2477,discover,nik·man·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2478,discuss,al·ap·a,uncategorized,UNVERIFIED/HIGH v:ku˙-chim-mong-a / ku˙-mong-a,VERIFIED/HIGH,DUPLICATE_KEY
2479,discuss,ku˙·chim·mong·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2480,discuss,ku˙·mong·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2481,disgust,mit·chi·a,uncategorized,UNVERIFIED/HIGH v:su-rek-su-chek,VERIFIED/HIGH,DUPLICATE_KEY
2482,disgust,su·rek·su·chek,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2486,dislike,eng·ki·a,uncategorized,UNVERIFIED/HIGH v:mik-neng-a / ni-na man˙-ja,VERIFIED/HIGH,DUPLICATE_KEY
2487,dislike,mik·neng·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2488,dislike,ni·na man˙·ja,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2491,disorderly,chik·chik·chrak·chrak rip·ing·rip·ang,uncategorized,UNVERIFIED/HIGH v:rik-king-rik-king / rip-eng-dam-beng / rit-dang-ban-dang,VERIFIED/HIGH,DUPLICATE_KEY
2492,disorderly,rik·king·rik·king,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2493,disorderly,rip·eng·dam·beng,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2494,disorderly,rit·dang·ban·dang,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2499,disturbed,man˙·dik·a,uncategorized,UNVERIFIED/HIGH v:rim˙-dang-a,VERIFIED/HIGH,DUPLICATE_KEY
2500,disturbed,rim˙·dang·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2502,dive,rip·a,uncategorized,UNVERIFIED/HIGH v:sap-a,VERIFIED/HIGH,DUPLICATE_KEY
2503,dive,sap·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2504,divide,bak on·et·a,uncategorized,UNVERIFIED/HIGH v:ma˙-at-a / su-al-a,VERIFIED/HIGH,DUPLICATE_KEY
2505,divide,ma˙·at·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2506,divide,su·al·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2507,divorce,gal·a,uncategorized,UNVERIFIED/HIGH v:gal-grik-a / ha˙-wal / jik gal-a,VERIFIED/HIGH,DUPLICATE_KEY
2508,divorce,gal·grik·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2509,divorce,ha˙·wal,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2510,divorce,jik gal·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2511,do,dak·a,uncategorized,UNVERIFIED/HIGH v:ka˙-a,VERIFIED/HIGH,DUPLICATE_KEY
2512,do,ka˙·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2514,done,bon˙·a,uncategorized,UNVERIFIED/HIGH v:mat-chot-a / ses,VERIFIED/HIGH,DUPLICATE_KEY
2515,done,mat·chot·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2516,done,ses,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2520,dove,do˙·gu·gu,uncategorized,UNVERIFIED/HIGH v:do˙-ku-ru,VERIFIED/HIGH,DUPLICATE_KEY
2521,dove,do˙·ku·ru,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
