index,english,garo,category,notes,verification_tag,flags
4874,goose,ga·gak·gang·si,uncategorized,UNVERIFIED/HIGH v:ra-ja-has,VERIFIED/HIGH,DUPLICATE_KEY
4875,goose,ra·ja·has,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4879,grab,rim·a,uncategorized,UNVERIFIED/HIGH v:sik-a,VERIFIED/HIGH,DUPLICATE_KEY
4880,grab,sik·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4886,grass,a·gal,uncategorized,UNVERIFIED/HIGH v:sam,VERIFIED/HIGH,DUPLICATE_KEY
4887,grass,sam,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4895,groan,chot·chot·a,uncategorized,UNVERIFIED/HIGH v:gek-gek-a / ma·-am-a,VERIFIED/HIGH,DUPLICATE_KEY
4896,groan,gek·gek·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4897,groan,ma·am·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4904,grub,bi·jong,uncategorized,UNVERIFIED/HIGH v:jong·-men,VERIFIED/HIGH,DUPLICATE_KEY
4905,grub,jong·men,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4906,guard,dong·tim·a,uncategorized,UNVERIFIED/HIGH v:gat / ni-rok-a,VERIFIED/HIGH,DUPLICATE_KEY
4907,guard,gat,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4908,guard,ni·rok·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4909,guardian,dong·tim·gip·a,uncategorized,UNVERIFIED/HIGH v:gar-jen,VERIFIED/HIGH,DUPLICATE_KEY
4910,guardian,gar·jen,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4913,gun,bon·duk,uncategorized,UNVERIFIED/HIGH v:chan-dal / sil-ai,VERIFIED/HIGH,DUPLICATE_KEY
4914,gun,chan·dal,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4915,gun,sil·ai,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4920,hairless,ka·kil·ang,uncategorized,UNVERIFIED/HIGH v:ko-ka-rok,VERIFIED/HIGH,DUPLICATE_KEY
4921,hairless,ko·ka·rok,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4923,half way,bik·bi·grik,numbers,UNVERIFIED/HIGH v:jang-chi,VERIFIED/HIGH,DUPLICATE_KEY
4924,half way,jang·chi,numbers,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4926,handle,bi·pong,uncategorized,UNVERIFIED/HIGH v:ga·-pong / rim·-a / rim·-chak-ra,VERIFIED/HIGH,DUPLICATE_KEY
4927,handle,ga·pong,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4928,handle,rim·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4929,handle,rim·chak·ra,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4931,hang,ding·de·a,uncategorized,UNVERIFIED/HIGH v:ka-ding-de-a / ring-ri-a / sring-a,VERIFIED/HIGH,DUPLICATE_KEY
4932,hang,ka·ding·de·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4933,hang,ring·ri·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4934,hang,sring·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4946,headman,mat·bor,uncategorized,UNVERIFIED/HIGH v:nok-ma / sko-tong,VERIFIED/HIGH,DUPLICATE_KEY
4947,headman,nok·ma,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4948,headman,sko·tong,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4952,heavy,chrim·a,uncategorized,UNVERIFIED/HIGH v:je·-et-je·-et,VERIFIED/HIGH,DUPLICATE_KEY
4953,heavy,je·et·je·et,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4963,hide,don·u·a,uncategorized,UNVERIFIED/HIGH v:kat-nap-a / nap-sik-a,VERIFIED/HIGH,DUPLICATE_KEY
4964,hide,kat·nap·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4965,hide,nap·sik·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4969,hill,ha·bri,travel,UNVERIFIED/HIGH v:ha·-chik / ha·-sak-a,VERIFIED/HIGH,DUPLICATE_KEY
4970,hill,ha·chik,travel,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4971,hill,ha·sak·a,travel,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4974,hinder,chang·a,uncategorized,UNVERIFIED/HIGH v:peng·-a,VERIFIED/HIGH,DUPLICATE_KEY
4975,hinder,peng·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4976,hit,dok·a,uncategorized,UNVERIFIED/HIGH v:nang-a,VERIFIED/HIGH,DUPLICATE_KEY
4977,hit,nang·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4979,hoarse,git·ok·srang·ja,uncategorized,UNVERIFIED/HIGH v:seo·-seo-e bol-a / su-del-a,VERIFIED/HIGH,DUPLICATE_KEY
