key,group_size,index,english,garo,category,notes
"throw at",2,6407,"throw at","go·wek·a","uncategorized","variant/UNVERIFIED/HIGH"
"tight",4,6417,"tight","chang·ket·a","uncategorized","UNVERIFIED/HIGH v:je·-et-je·-et / je·-et-je·-et dak-ing-a / kring-a"
"tight",4,6418,"tight","je··et·je··et","uncategorized","variant/UNVERIFIED/HIGH"
"tight",4,6419,"tight","je··et·je··et dak·ing·a","uncategorized","variant/UNVERIFIED/HIGH"
"tight",4,6420,"tight","kring·a","uncategorized","variant/UNVERIFIED/HIGH"
"tiny",2,6422,"tiny","mik·chil","uncategorized","UNVERIFIED/HIGH v:se·-em-a"
"tiny",2,6423,"tiny","se··em·a","uncategorized","variant/UNVERIFIED/HIGH"
"tip",2,6424,"tip","bi·chu","uncategorized","UNVERIFIED/HIGH v:bi-ku"
"tip",2,6425,"tip","bi·ku","uncategorized","variant/UNVERIFIED/HIGH"
"tiptoe",2,6426,"tiptoe","ga··deng·si·a","uncategorized","UNVERIFIED/HIGH v:ja·-chri-a"
"tiptoe",2,6427,"tiptoe","ja··chri·a","uncategorized","variant/UNVERIFIED/HIGH"
"together",4,6433,"together","ap·san","uncategorized","UNVERIFIED/HIGH v:-ming / -pa·- / dam-san"
"together",4,6434,"together","·ming","uncategorized","variant/UNVERIFIED/HIGH"
"together",4,6435,"together","·pa··","uncategorized","variant/UNVERIFIED/HIGH"
"together",4,6436,"together","dam·san","uncategorized","variant/UNVERIFIED/HIGH"
"tongs",2,6438,"tongs","dang··kep","uncategorized","UNVERIFIED/HIGH v:sil-dang-kep"
"tongs",2,6439,"tongs","sil·dang·kep","uncategorized","variant/UNVERIFIED/HIGH"
"top",4,6443,"top","bi·rik·i","uncategorized","UNVERIFIED/HIGH v:rik-i / sak-a-pong / ska-pong"
"top",4,6444,"top","rik·i","uncategorized","variant/UNVERIFIED/HIGH"
"top",4,6445,"top","sak·a·pong","uncategorized","variant/UNVERIFIED/HIGH"
"top",4,6446,"top","ska·pong","uncategorized","variant/UNVERIFIED/HIGH"
"torn",3,6448,"torn","drak·a","uncategorized","UNVERIFIED/HIGH v:git-chit-a / so-drak-sa-drak"
"torn",3,6449,"torn","git·chit·a","uncategorized","variant/UNVERIFIED/HIGH"
"torn",3,6450,"torn","so·drak·sa·drak","uncategorized","variant/UNVERIFIED/HIGH"
"touch",2,6453,"touch","nang·a","uncategorized","UNVERIFIED/HIGH v:rim·-a"
"touch",2,6454,"touch","rim··a","uncategorized","variant/UNVERIFIED/HIGH"
"touching",2,6455,"touching","cha··skap·a","uncategorized","UNVERIFIED/HIGH v:chap-chap"
"touching",2,6456,"touching","chap·chap","uncategorized","variant/UNVERIFIED/HIGH"
"tough",2,6457,"tough","dip·it·a","uncategorized","UNVERIFIED/HIGH v:rak-a"
"tough",2,6458,"tough","rak·a","uncategorized","variant/UNVERIFIED/HIGH"
"trade",2,6462,"trade","sre·a","business","UNVERIFIED/HIGH v:sre-grik-a"
"trade",2,6463,"trade","sre·grik·a","business","variant/UNVERIFIED/HIGH"
"tremble",3,6469,"tremble","dil··dil·a","uncategorized","UNVERIFIED/HIGH v:jil-jil-a / kep-kep-a"
"tremble",3,6470,"tremble","jil·jil·a","uncategorized","variant/UNVERIFIED/HIGH"
"tremble",3,6471,"tremble","kep·kep·a","uncategorized","variant/UNVERIFIED/HIGH"
"truly",2,6479,"truly","a·sol·e","uncategorized","UNVERIFIED/HIGH v:be-be"
"truly",2,6480,"truly","be·be","uncategorized","variant/UNVERIFIED/HIGH"
"try",3,6482,"try","ches·ta dak·a","uncategorized","UNVERIFIED/HIGH v:jo-ton ka·-a / ni-a"
"try",3,6483,"try","jo·ton ka··a","uncategorized","variant/UNVERIFIED/HIGH"
"try",3,6484,"try","ni·a","uncategorized","variant/UNVERIFIED/HIGH"
"turn",3,6488,"turn","geng·kon·a","uncategorized","UNVERIFIED/HIGH v:go-rai-a / ham·-pil-a"
