index,english,garo,category,notes,tagged_verified_high
4709,"fields","ha··ba","uncategorized","UNVERIFIED/HIGH",yes
4720,"find","man··a","uncategorized","UNVERIFIED/HIGH",yes
4722,"fine","se··em·a","uncategorized","UNVERIFIED/HIGH",yes
4726,"finish","bon··dil·a","uncategorized","UNVERIFIED/HIGH v:chon·-a / man·-a",yes
4727,"finish","chon··a","uncategorized","variant/UNVERIFIED/HIGH",yes
4728,"finish","man··a","uncategorized","variant/UNVERIFIED/HIGH",yes
4729,"finished","bon··a","uncategorized","UNVERIFIED/HIGH v:bon·-chot-a / mat-chot-a / ses",yes
4730,"finished","bon··chot·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4734,"firebrand","wal··jem","uncategorized","variant/UNVERIFIED/HIGH",yes
4735,"firefly","sang··et","uncategorized","UNVERIFIED/HIGH",yes
4746,"fit","dang··a","uncategorized","variant/UNVERIFIED/HIGH",yes
4748,"fit","tang··rong·rang·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4751,"flair","jil··au·a","uncategorized","UNVERIFIED/HIGH",yes
4752,"flake","ga··au·a","uncategorized","UNVERIFIED/HIGH",yes
4753,"flames","wal··si·ri","uncategorized","UNVERIFIED/HIGH",yes
4757,"flash","ri··rau·a","uncategorized","UNVERIFIED/HIGH",yes
4765,"flatten","ro··op·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4766,"flesh","be··en","uncategorized","UNVERIFIED/HIGH",yes
4767,"flicker","jing··jet·jing··jet","uncategorized","UNVERIFIED/HIGH v:ring-rang-ga-rang",yes
4769,"flickering","jil··jeng jil··jeng","uncategorized","UNVERIFIED/HIGH",yes
4776,"fluently","ku··pret·a","uncategorized","UNVERIFIED/HIGH",yes
4781,"fold","dem··a","uncategorized","UNVERIFIED/HIGH",yes
4783,"folded","be··dem·a","uncategorized","UNVERIFIED/HIGH",yes
4785,"follow","i··rik·a","uncategorized","UNVERIFIED/HIGH v:ja·-rik-a / ki·-sang-chak-a / rik-pa-a",yes
4786,"follow","ja··rik·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4787,"follow","ki··sang·chak·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4789,"follow orders","ra··chak·a","uncategorized","UNVERIFIED/HIGH",yes
4793,"fool around","kal··ak·a","uncategorized","UNVERIFIED/HIGH v:mang-kal-a / rong-kal-a",yes
4796,"foolishly","na·wang·ku··wang","uncategorized","UNVERIFIED/HIGH",yes
4797,"foot","ja··","uncategorized","UNVERIFIED/HIGH",yes
4798,"foot of mountains","ja··rek","phrases","UNVERIFIED/HIGH",yes
4799,"foot print","ja··gam","uncategorized","UNVERIFIED/HIGH v:ja·-kol",yes
4800,"foot print","ja··kol","uncategorized","variant/UNVERIFIED/HIGH",yes
4812,"forgive","ke·ma ron··a","church","UNVERIFIED/HIGH",yes
4823,"front of body","ka··bak","health","UNVERIFIED/HIGH",yes
4829,"funeral","me··mang gam","uncategorized","UNVERIFIED/HIGH",yes
4846,"genitals, female","si··","uncategorized","UNVERIFIED/HIGH",yes
4849,"get","man··a","uncategorized","UNVERIFIED/HIGH v:ra·-a / sik-a",yes
4850,"get","ra··a","uncategorized","variant/UNVERIFIED/HIGH",yes
4853,"get back","man··rik·a","uncategorized","UNVERIFIED/HIGH",yes
4856,"gin","pe··a","uncategorized","UNVERIFIED/HIGH",yes
4858,"give help","ron··chak·a","uncategorized","UNVERIFIED/HIGH",yes
4861,"gloomy","sin··dik·a","uncategorized","UNVERIFIED/HIGH",yes
4865,"gnat","su··sam","uncategorized","UNVERIFIED/HIGH v:tam-pi-sim-ik",yes
4867,"go back","i··ang·pil··a","uncategorized","UNVERIFIED/HIGH v:pil·-a",yes
4868,"go back","pil··a","uncategorized","variant/UNVERIFIED/HIGH",yes
4869,"go back and forth","i··ru·ra··a","phrases","UNVERIFIED/HIGH",yes
